station_id,date,time,weather_condition,temperature,rainfall,visibility
WS-NORTH,01/01/2025,00:00,Clear,12.7,0.0,10000.0
WS-NORTH,01/01/2025,01:00,Clear,8.8,0.0,10000.0
WS-NORTH,01/01/2025,02:00,clear,9.8,0.0,10000.0
WS-NORTH,01/01/2025,03:00,Clear,9.4,0.0,10000.0
WS-NORTH,01/01/2025,04:00,clear,9.0,0.0,
WS-NORTH,01/01/2025,05:00,clear,8.7,0.0,10000.0
WS-NORTH,01/01/2025,06:00,Clear,9.6,0.0,10000.0
WS-NORTH,01/01/2025,07:00,Clear,11.6,0.0,10000.0
WS-NORTH,01/01/2025,08:00,Cloudy,13.5,0.0,10000.0
WS-NORTH,01/01/2025,09:00,cloudy,15.0,0.0,10000.0
WS-NORTH,01/01/2025,10:00,Overcast,14.4,0.0,10000.0
WS-NORTH,01/01/2025,11:00,Cloudy,15.8,0.0,10000.0
WS-NORTH,01/01/2025,12:00,Overcast,19.1,0.0,10000.0
WS-NORTH,01/01/2025,13:00,Overcast,19.1,0.0,10000.0
WS-NORTH,01/01/2025,14:00,cloudy,16.7,0.0,10000.0
WS-NORTH,01/01/2025,15:00,Clear,20.7,0.0,10000.0
WS-NORTH,01/01/2025,16:00,clear,,0.0,10000.0
WS-NORTH,01/01/2025,17:00,Clear,18.6,0.0,10000.0
WS-NORTH,01/01/2025,18:00,Clear,16.3,0.0,10000.0
WS-NORTH,01/01/2025,19:00,CLEAR,16.7,0.0,10000.0
WS-NORTH,01/01/2025,20:00,Rain,15.8,5.9,3493.0
WS-NORTH,01/01/2025,21:00,Rain,14.0,1.5,4097.0
WS-NORTH,01/01/2025,22:00,Clear,12.3,0.0,10000.0
WS-NORTH,01/01/2025,23:00,Clear,13.4,0.0,10000.0
WS-NORTH,02/01/2025,00:00,Clear,9.6,0.0,10000.0
WS-NORTH,02/01/2025,01:00,Clear,8.9,0.0,10000.0
WS-NORTH,02/01/2025,02:00,Clear,10.8,0.0,10000.0
WS-NORTH,02/01/2025,03:00,Clear,10.6,0.0,10000.0
WS-NORTH,02/01/2025,04:00,Clear,8.2,0.0,10000.0
WS-NORTH,02/01/2025,05:00,Clear,8.6,0.0,10000.0
WS-NORTH,02/01/2025,06:00,Clear,9.7,0.0,10000.0
WS-NORTH,02/01/2025,07:00,Clear,10.3,0.0,10000.0
WS-NORTH,02/01/2025,08:00,Clear,13.1,0.0,10000.0
WS-NORTH,02/01/2025,09:00,Clear,12.7,0.0,10000.0
WS-NORTH,02/01/2025,10:00,clear,16.1,0.0,10000.0
WS-NORTH,02/01/2025,11:00,clear,17.3,0.0,10000.0
WS-NORTH,02/01/2025,12:00,Clear,19.4,0.0,10000.0
WS-NORTH,02/01/2025,13:00,Clear,18.7,0.0,10000.0
WS-NORTH,02/01/2025,14:00,Clear,17.4,0.0,10000.0
WS-NORTH,02/01/2025,15:00,CLEAR,17.1,0.0,10000.0
WS-NORTH,02/01/2025,16:00,Clear,19.4,0.0,10000.0
WS-NORTH,02/01/2025,17:00,Clear,18.0,0.0,10000.0
WS-NORTH,02/01/2025,18:00,Clear,18.7,0.0,10000.0
WS-NORTH,02/01/2025,19:00,Clear,14.9,0.0,10000.0
WS-NORTH,02/01/2025,20:00,Clear,12.5,0.0,10000.0
WS-NORTH,02/01/2025,21:00,CLEAR,12.6,0.0,10000.0
WS-NORTH,02/01/2025,22:00,Clear,13.0,0.0,10000.0
WS-NORTH,02/01/2025,23:00,clear,12.3,0.0,10000.0
WS-NORTH,03/01/2025,00:00,Clear,10.3,0.0,10000.0
WS-NORTH,03/01/2025,01:00,Clear,9.6,0.0,10000.0
WS-NORTH,03/01/2025,02:00,Clear,9.4,0.0,10000.0
WS-NORTH,03/01/2025,03:00,Clear,9.1,0.0,10000.0
WS-NORTH,03/01/2025,04:00,Clear,11.5,0.0,10000.0
WS-NORTH,03/01/2025,05:00,CLEAR,9.0,0.0,10000.0
WS-NORTH,03/01/2025,06:00,Clear,11.1,0.0,10000.0
WS-NORTH,03/01/2025,07:00,Clear,11.8,0.0,10000.0
WS-NORTH,03/01/2025,08:00,Clear,12.2,0.0,10000.0
WS-NORTH,03/01/2025,09:00,Clear,15.0,0.0,10000.0
WS-NORTH,03/01/2025,10:00,Clear,15.3,0.0,10000.0
WS-NORTH,03/01/2025,11:00,Cloudy,16.6,0.0,10000.0
WS-NORTH,03/01/2025,12:00,Cloudy,15.9,0.0,10000.0
WS-NORTH,03/01/2025,13:00,Cloudy,20.9,0.0,10000.0
WS-NORTH,03/01/2025,14:00,Cloudy,18.6,0.0,10000.0
WS-NORTH,03/01/2025,15:00,Cloudy,19.4,0.0,10000.0
WS-NORTH,03/01/2025,16:00,clear,18.7,0.0,10000.0
WS-NORTH,03/01/2025,17:00,Clear,17.4,0.0,10000.0
WS-NORTH,03/01/2025,18:00,Clear,17.6,0.0,10000.0
WS-NORTH,03/01/2025,19:00,Clear,16.4,0.0,10000.0
WS-NORTH,03/01/2025,20:00,CLEAR,14.2,0.0,10000.0
WS-NORTH,03/01/2025,21:00,Clear,14.0,0.0,10000.0
WS-NORTH,03/01/2025,22:00,Clear,12.0,0.0,10000.0
WS-NORTH,03/01/2025,23:00,Clear,10.0,0.0,10000.0
WS-NORTH,04/01/2025,00:00,clear,11.3,0.0,10000.0
WS-NORTH,04/01/2025,01:00,clear,9.2,0.0,10000.0
WS-NORTH,04/01/2025,02:00,Clear,7.6,0.0,10000.0
WS-NORTH,04/01/2025,03:00,Clear,7.2,0.0,10000.0
WS-NORTH,04/01/2025,04:00,Clear,11.6,0.0,10000.0
WS-NORTH,04/01/2025,05:00,clear,8.3,0.0,10000.0
WS-NORTH,04/01/2025,06:00,Clear,9.6,0.0,10000.0
WS-NORTH,04/01/2025,07:00,Cloudy,11.8,0.0,10000.0
WS-NORTH,04/01/2025,08:00,Cloudy,11.6,0.0,10000.0
WS-NORTH,04/01/2025,09:00,Cloudy,13.0,0.0,10000.0
WS-NORTH,04/01/2025,10:00,Clear,14.5,0.0,10000.0
WS-NORTH,04/01/2025,11:00,Clear,17.6,0.0,10000.0
WS-NORTH,04/01/2025,12:00,CLEAR,17.7,0.0,10000.0
WS-NORTH,04/01/2025,13:00,Clear,18.3,0.0,10000.0
WS-NORTH,04/01/2025,14:00,Clear,19.7,0.0,10000.0
WS-NORTH,04/01/2025,15:00,Clear,16.4,0.0,10000.0
WS-NORTH,04/01/2025,16:00,Clear,18.6,0.0,10000.0
WS-NORTH,04/01/2025,17:00,CLEAR,18.6,0.0,10000.0
WS-NORTH,04/01/2025,18:00,Clear,16.7,0.0,10000.0
WS-NORTH,04/01/2025,19:00,Clear,16.0,0.0,10000.0
WS-NORTH,04/01/2025,20:00,CLEAR,15.7,0.0,10000.0
WS-NORTH,04/01/2025,21:00,Clear,14.1,0.0,10000.0
WS-NORTH,04/01/2025,22:00,Clear,11.4,0.0,10000.0
WS-NORTH,04/01/2025,23:00,Clear,13.2,0.0,10000.0
WS-NORTH,05/01/2025,00:00,Clear,11.2,0.0,10000.0
WS-NORTH,05/01/2025,01:00,clear,9.2,0.0,10000.0
WS-NORTH,05/01/2025,02:00,Clear,9.4,0.0,10000.0
WS-NORTH,05/01/2025,03:00,Clear,9.0,0.0,10000.0
WS-NORTH,05/01/2025,04:00,Clear,9.7,0.0,10000.0
WS-NORTH,05/01/2025,05:00,CLEAR,9.8,0.0,10000.0
WS-NORTH,05/01/2025,06:00,Clear,12.0,0.0,10000.0
WS-NORTH,05/01/2025,07:00,Cloudy,12.3,0.0,10000.0
WS-NORTH,05/01/2025,08:00,Cloudy,10.0,0.0,10000.0
WS-NORTH,05/01/2025,09:00,cloudy,14.7,0.0,10000.0
WS-NORTH,05/01/2025,10:00,Overcast,15.8,0.0,10000.0
WS-NORTH,05/01/2025,11:00,Cloudy,17.7,0.0,10000.0
WS-NORTH,05/01/2025,12:00,Overcast,15.5,0.0,10000.0
WS-NORTH,05/01/2025,13:00,Cloudy,21.4,0.0,10000.0
WS-NORTH,05/01/2025,14:00,clear,19.9,0.0,10000.0
WS-NORTH,05/01/2025,15:00,Clear,19.0,0.0,10000.0
WS-NORTH,05/01/2025,16:00,CLEAR,19.9,0.0,10000.0
WS-NORTH,05/01/2025,17:00,CLEAR,18.3,0.0,10000.0
WS-NORTH,05/01/2025,18:00,Clear,19.4,0.0,10000.0
WS-NORTH,05/01/2025,19:00,Clear,16.4,0.0,10000.0
WS-NORTH,05/01/2025,20:00,CLEAR,15.5,0.0,10000.0
WS-NORTH,05/01/2025,21:00,Clear,14.0,0.0,10000.0
WS-NORTH,05/01/2025,22:00,clear,12.4,0.0,10000.0
WS-NORTH,05/01/2025,23:00,Clear,12.1,0.0,10000.0
WS-NORTH,06/01/2025,00:00,Clear,10.7,0.0,10000.0
WS-NORTH,06/01/2025,01:00,Clear,9.8,0.0,10000.0
WS-NORTH,06/01/2025,02:00,clear,9.7,0.0,10000.0
WS-NORTH,06/01/2025,03:00,Clear,9.3,0.0,10000.0
WS-NORTH,06/01/2025,04:00,Fog,10.2,0.0,307.0
WS-NORTH,06/01/2025,05:00,Fog,11.6,0.0,806.0
WS-NORTH,06/01/2025,06:00,Clear,12.8,0.0,10000.0
WS-NORTH,06/01/2025,07:00,Clear,12.6,0.0,10000.0
WS-NORTH,06/01/2025,08:00,clear,11.0,0.0,10000.0
WS-NORTH,06/01/2025,09:00,Overcast,12.8,0.0,10000.0
WS-NORTH,06/01/2025,10:00,Overcast,15.6,0.0,10000.0
WS-NORTH,06/01/2025,11:00,Cloudy,16.9,0.0,
WS-NORTH,06/01/2025,12:00,Clear,17.0,0.0,10000.0
WS-NORTH,06/01/2025,13:00,Clear,18.5,0.0,10000.0
WS-NORTH,06/01/2025,14:00,Clear,18.6,0.0,10000.0
WS-NORTH,06/01/2025,15:00,Clear,20.1,0.0,10000.0
WS-NORTH,06/01/2025,16:00,Clear,18.7,0.0,10000.0
WS-NORTH,06/01/2025,17:00,Clear,18.8,0.0,10000.0
WS-NORTH,06/01/2025,18:00,clear,16.6,0.0,10000.0
WS-NORTH,06/01/2025,19:00,Clear,18.8,0.0,10000.0
WS-NORTH,06/01/2025,20:00,Clear,15.2,0.0,10000.0
WS-NORTH,06/01/2025,21:00,Cloudy,15.4,0.0,10000.0
WS-NORTH,06/01/2025,22:00,Cloudy,14.9,0.0,10000.0
WS-NORTH,06/01/2025,23:00,cloudy,11.1,0.0,10000.0
WS-NORTH,07/01/2025,00:00,Clear,11.1,0.0,10000.0
WS-NORTH,07/01/2025,01:00,clear,10.0,0.0,10000.0
WS-NORTH,07/01/2025,02:00,Cloudy,9.0,0.0,10000.0
WS-NORTH,07/01/2025,03:00,cloudy,9.1,0.0,10000.0
WS-NORTH,07/01/2025,04:00,Cloudy,8.2,0.0,10000.0
WS-NORTH,07/01/2025,05:00,Overcast,9.8,0.0,10000.0
WS-NORTH,07/01/2025,06:00,Cloudy,10.5,0.0,10000.0
WS-NORTH,07/01/2025,07:00,Cloudy,,0.0,10000.0
